_id,name_comp,vid_oper,contr_terr,uchastie,contr_numb,admin_edin,contr_srok,id,example_field1,example_field2
6566e2213e7a16b38ea1d27a,"ТОО ""СУ ТАСУ""",Разведка и добыча,Участок Южнный Алатобе, Дауренбеков Бакберген Оразалиевич,5024-УВС от 15.02.2022 года,Мангистауская область,15.02.2028г.,121,,
6566e2213e7a16b38ea1d27b,"ТОО ""CAPITAL RESOURCES""",Разведка и добыча,Участок Коныс ," \nТОО ""Capital holding"", \nMETALLIN PTE. LTD.\n",5028-УВС от 28.02.2022 года,Кызылординская область,28.02.2028г.,122,,
6566e2213e7a16b38ea1d27c,"ТОО ""Кaratau Munai""",Разведка и добыча,Участок Шакпак,Асаубаев Ельжан Бауыржанович\nНұрқадыр Айбек ,5029-УВС от 28.02.2022 года,Туркестанская область,28.02.2028г.,123,,
6566e2213e7a16b38ea1d27d,"ТОО ""КазТрансНефть""",Разведка и добыча,Участок Нурманов,Бейсенгалиев Ержан Берикович,5036-УВС от 11.03.2022 года,Мангистауская область,11.03.2028г.,124,,
6566e2213e7a16b38ea1d27e,"ТОО ""Керуен Логистик""",Разведка и добыча,Участок Южная Караманата, \nИСЕКЕШЕВ ЕРЛАН ОРЕНТАЕВИЧ;\n,5037-УВС от 11.03.2022 года,Мангистауская область,11.03.2028г.,125,,
6566e2213e7a16b38ea1d27f,"ДТОО ""ЖАЛГИЗТОБЕМУНАЙ""",Добыча,месторождение Жалгизтобе ,"ТОО ""Позитив Ойл» \nТОО ""Позитив Сервис» ",5044-УВС от 25.04.2022 года,Мангистауская область,25.04.2047г.,126,,
6566e2213e7a16b38ea1d280,"ТОО ""WEST PRECASPIAN COMPANY""",Разведка и добыча,Участок Шункырколь, МАЖЕНОВ АСЫГАТ АСЫЛБЕКОВИЧ;,5087-УВС от 22.08.2022 года,Атырауская область и Актюбинская область ,22.08.2028 г.,127,,
6566e2213e7a16b38ea1d281,"ТОО ""КазНефтеГазПроект""",Разведка и добыча,Участок Каргалы, КУЛУМБЕТОВ ЕРБОЛАТ КУАНДЫКОВИЧ;,5090-УВС от 25.08.2022 года,Актюбинская область,25.08.2028 г.,128,,
6566e2213e7a16b38ea1d282,"ТОО ""HTS Exploration Ltd""",Разведка и добыча,Участок Маткен Южный,Калиева Айгуль Мухамбеткалиевна,5098-УВС от 05.09.2022 года,Атырауская область и Мангистауская область,05.09.2028 г.,129,,
6566e2213e7a16b38ea1d283,"ТОО ""Lucent Petroleum""",Разведка и добыча,"на разведку и добычу углеводородов на площади в пределах блоков ХХХ-13-F (частично), 14-D(частично), E,F, XXXI-13-C (частично),14-F (частично), B,C (частично)/","ТОО ""FortuneOil» (Фортчен Ойл)",317 от 07.04.1999 года,Атырауская область и Мангистауская область,11.03.2023,13,,
6566e2213e7a16b38ea1d284,"ТОО "" Аккум LTD KZ""",Разведка и добыча,Участок Булашское,"ЖШС ""Бузачи Нефть"",\nДАМИРОВА АЛИЯ ДАМИРОВНА;",5099-УВС от 05.09.2022 года,Актюбинская область,05.09.2028 г.,130,,
6566e2213e7a16b38ea1d285,"ТОО ""БИОПРОМ KZ""",Разведка и добыча,Участок Шалва Северо-Западный," \nТОО ""Бузачи Нефть"",\nГАЗИЗОВА ДИНА ХАБИБУЛЛОВНА;\n",5101-УВС от 09.09.2022 года,Мангистауская область,09.09.2028 г.,131,,
6566e2213e7a16b38ea1d286,"ТОО ""DMS Services""",Разведка и добыча,Участок Аральский участок 4,Компания «Tethys Kazakhstan» S.A.  (Тетис Казахстан Эс.Эй.),5102-УВС от 12.09.2022 года,Актюбинская область и Кызылординская область,12.09.2028 г.,132,,
6566e2213e7a16b38ea1d287,"ТОО ""Нефтеная инженерно-технологическая сервисная компания Чжунман""",Разведка и добыча,Участок Прибрежное,ЦЗЯН КУЙФЭН,5103-УВС от 13.09.2022 года,Атырауская область,13.09.2028 г.,133,,
6566e2213e7a16b38ea1d288,"ТОО "" Аккум LTD KZ""",Разведка и добыча,Участок Каламкас," \nТоварищество с ограниченной ответственностью ""Бузачи Нефть"", \nДАМИРОВА АЛИЯ ДАМИРОВНА;\n",5104-УВС от 13.09.2022 года,Мангистауская область,13.09.2028 г.,134,,
6566e2213e7a16b38ea1d289,"АО ""Нефтяная компания КОР""",Разведка и добыча,Месторождение Восточный Караван,"\nТОО ""Компания ""Недра- инжиниринг"",\nТОО ""ОЛ"", \nТОО ""Варрант"", \nБЕРДЫГОЖИН ЧИНГИС РОБЕРТОВИЧ;\nНУРПЕИСОВ ИЛЬЯ САЙЛАУБЕКОВИЧ;\nАХСАМБИЕВ ТАЛГАТ АБДЫКАИМОВИЧ;\nБЕРДЫГУЖИН РОБЕРТ УРЫНБАЕВИЧ;\n",5105-УВС от 13.09.2022 года,Карагандинская область,13.09.2028 г.,135,,
6566e2213e7a16b38ea1d28a,"ТОО ""Астана-Транс-Ойл""",Добыча,Участок Тамды,\nАХМЕТ АЙГЕРИМ АСКАРОВНА;\nБЕГАЛИЕВ АЙБЕК ОРАЗБЕКОВИЧ;\n,5106-УВС от 15.09.2022 года,Мангистауская область,15.09.2047,136,,
6566e2213e7a16b38ea1d28b,"ТОО ""HO EXPERT""",Разведка и добыча,Участок Центральный Караванчи,\nЖАМАНОВ КУАНДЫК МАРАТОВИЧ;\n,5108-УВС от 22.09.2022 года,Улытауская область,22.09.2028 г.,137,,
6566e2213e7a16b38ea1d28c,"ТОО ""Карамай""",Разведка и добыча,Участок Болтанмола,ДЖЕМАНТАЕВ ДАНИЯР МУХТАРОВИЧ,5109-УВС от 23.09.2022 года,Западно-Казахстанская области,23.09.2028 г.,138,,
6566e2213e7a16b38ea1d28d,"ТОО ""Nobilis Corp""",Добыча,Месторождение Боранколь,АБЛАСАНОВ БАЙКАДАМ АМАНОВИЧ \n,5112-УВС от 06.10.2022 года,Мангистауская область,06.10.2047,139,,
6566e2213e7a16b38ea1d28e,"СП ТОО ""Казахтуркмунай""",Добыча, месторождение Каратобе Южное в пределах блока XXIV-21-А ,"АО ""НК ""Казмунайгаз»",329 от 18.05.1999 года,Актюбинская область,26.12.2047г.,14,,
6566e2213e7a16b38ea1d28f,"ТОО ""Varro Operating Group""",Добыча,Месторождение Толкын,АБЛАСАНОВ БАЙКАДАМ АМАНОВИЧ \n,5113-УВС  от 06.10.2022 года,Мангистауская область,06.10.2047,140,,
6566e2213e7a16b38ea1d290,"ТОО ""TUMAR PETROL""",Разведка и добыча,Месторождение Кокбулак,«KUSTO OIL PTE LTD.» ,5126-УВС от 08.11.2022,Область Ұлытау,08.11.2028,141,,
6566e2213e7a16b38ea1d291,"ТОО ""TUMAR PETROL""",Разведка и добыча,Месторождение Жайык,«KUSTO OIL PTE LTD.» ,5127-УВС от 08.11.2022,Атырауская область,08.11.2028,142,,
6566e2213e7a16b38ea1d292,"ТОО ""TUMAR PETROL""",Разведка и добыча,Месторождение Сарылан,«KUSTO OIL PTE LTD.» ,5128-УВС от 08.11.2022,Область Ұлытау,08.11.2028,143,,
6566e2213e7a16b38ea1d293,"ТОО ""РД ""QazaqGaz""",Добыча              Подготовитьельный период сроком на один год,Месторождение Айракты,"АО ""НК"" ""QazaqGaz""",5132-УВС от 25.11.2022,Жамбылская область,25.11.2023,144,,
6566e2213e7a16b38ea1d294,"АО ""НК ""КазМунайГаз""",Разведка и добыча,Месторождение Тайсойган 1,"АО ""ФНБ ""Самрук Казына""",5134-УВС от 06.12.2022,Атырауская область,06.12.2028,145,,
6566e2213e7a16b38ea1d295,"АО ""НК ""КазМунайГаз""",Разведка и добыча,Месторождение Тайсойган 2,"АО ""ФНБ ""Самрук Казына""",5135-УВС от 06.12.2022,Атырауская область,06.12.2028,146,,
